date,under 20,20-39,40-49,50-59,60-69,70,health_authority
2022-01-17,0,1,0,0,0,0,labradorgrenfell_ha
2022-01-14,13,21,5,10,0,2,labradorgrenfell_ha
2022-01-13,8,26,9,4,3,2,labradorgrenfell_ha
2022-01-12,16,33,15,12,2,7,labradorgrenfell_ha
2022-01-11,19,20,9,9,9,4,labradorgrenfell_ha
2022-01-10,11,21,11,14,2,5,labradorgrenfell_ha
2022-01-07,14,35,14,17,3,2,labradorgrenfell_ha
2022-01-06,9,22,7,15,2,4,labradorgrenfell_ha
2022-01-05,35,22,8,18,7,7,labradorgrenfell_ha
2022-01-04,27,49,16,19,6,8,labradorgrenfell_ha
2022-01-03,35,38,20,18,9,5,labradorgrenfell_ha
2021-12-31,19,41,14,14,3,1,labradorgrenfell_ha
2021-12-30,17,23,10,12,4,0,labradorgrenfell_ha
2021-12-29,0,12,1,1,2,0,labradorgrenfell_ha
2021-12-24,0,3,1,0,0,0,labradorgrenfell_ha
2021-12-23,0,0,0,1,0,0,labradorgrenfell_ha
2021-12-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-19,0,9,1,3,0,0,labradorgrenfell_ha
2021-12-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-12-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-24,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-19,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-11-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-27,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-18,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-10-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-27,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-24,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-15,0,0,0,0,0,1,labradorgrenfell_ha
2021-09-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-09-06,0,0,0,0,1,1,labradorgrenfell_ha
2021-08-30,0,0,0,0,1,0,labradorgrenfell_ha
2021-08-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-08-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-06-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-30,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-29,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-23,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-11,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-05-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-30,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-24,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-16,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-04-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-14,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-11,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-05,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-03,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-02,0,0,0,0,0,0,labradorgrenfell_ha
2021-03-01,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-28,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-26,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-25,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-23,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-22,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-21,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-20,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-19,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-18,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-17,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-16,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-15,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-14,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-13,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-12,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-11,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-10,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-09,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-08,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-07,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-06,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-04,0,0,0,0,0,0,labradorgrenfell_ha
2021-02-03,0,0,0,0,0,0,labradorgrenfell_ha
2020-12-09,0,0,0,0,0,0,labradorgrenfell_ha
2020-04-30,0,0,0,0,0,0,labradorgrenfell_ha
